mean_x,std_x,mean_y,std_y,mean_z,std_z,Activity
-3.606,3.038,-4.0,4.218,-7.388,4.519,hand_wash
-5.095,1.556,-5.927,2.811,0.03912,5.245,hand_wash
-5.39,1.212,-6.359,2.319,-0.9857,4.259,hand_wash
-5.268,1.365,-6.119,1.779,-0.9398,4.602,hand_wash
-5.175,1.454,-2.598,3.373,2.084,6.772,hand_wash
-5.11,1.189,-4.689,3.394,1.409,5.457,hand_wash
-5.121,1.336,-6.507,1.67,-1.216,4.101,hand_wash
-5.369,1.354,-5.958,2.256,-2.585,4.421,hand_wash
-4.227,2.964,-5.042,4.242,-4.977,5.678,hand_wash
-3.54,2.211,-5.614,3.097,-6.316,4.565,hand_wash
-3.868,2.802,-6.866,2.236,-4.629,3.515,hand_wash
-4.996,1.385,-6.013,2.444,-1.194,5.027,hand_wash
-4.486,1.373,-5.88,2.281,-1.309,5.55,hand_wash
-5.133,1.513,-5.842,2.26,-2.634,4.523,hand_wash
-4.737,2.087,-6.766,2.536,-1.652,3.878,hand_wash
-5.098,1.674,-5.609,2.954,-0.7029,5.452,hand_wash
-4.823,1.562,-5.393,2.885,0.2132,5.801,hand_wash
-5.358,1.431,-5.715,2.549,-2.032,4.879,hand_wash
-5.675,1.612,-6.036,2.401,-0.6353,4.209,hand_wash
-5.537,1.389,-6.531,1.751,-1.981,3.361,hand_wash
2.538,3.982,-2.74,5.801,3.532,5.298,not_hand_wash
-2.373,4.092,-3.59,2.252,6.886,2.761,not_hand_wash
0.8466,0.5833,-3.343,2.906,8.031,1.959,not_hand_wash
0.771,0.07672,-2.972,0.1118,8.834,0.0784,not_hand_wash
1.132,0.09407,-5.871,1.243,6.798,0.995,not_hand_wash
1.251,0.111,-5.967,1.025,6.751,0.8424,not_hand_wash
4.085,3.235,-4.243,4.82,5.282,2.93,not_hand_wash
0.4302,1.306,-2.875,2.397,8.46,1.607,not_hand_wash
-0.5081,1.067,-5.104,1.287,7.493,0.9315,not_hand_wash
0.1686,0.3518,-2.535,2.7,8.467,1.755,not_hand_wash
0.3679,0.2268,-3.677,2.12,8.209,1.375,not_hand_wash
-2.044,3.865,-2.802,2.079,7.629,1.177,not_hand_wash
-3.48,0.8306,-0.2648,1.835,8.729,0.8605,not_hand_wash
-6.203,1.684,-0.6931,1.079,7.097,1.036,not_hand_wash
-7.332,0.1724,-0.8693,0.3456,6.182,0.2447,not_hand_wash
-7.428,0.4833,-1.734,2.017,5.237,1.59,not_hand_wash
-7.246,0.3563,-3.622,2.309,3.893,1.878,not_hand_wash
-4.357,2.051,-3.195,1.465,7.23,1.506,not_hand_wash
-2.852,0.1067,-3.282,0.18,8.301,0.07627,not_hand_wash
-2.848,0.06672,-3.278,0.07802,8.311,0.07321,not_hand_wash
-2.777,0.06266,-2.983,0.08431,8.456,0.05807,not_hand_wash
-2.798,0.05164,-3.037,0.07042,8.434,0.059,not_hand_wash
-2.79,0.05787,-3.03,0.08498,8.44,0.05482,not_hand_wash
-4.351,3.064,-1.451,3.547,6.98,2.158,not_hand_wash
-1.845,0.8087,-4.032,1.888,7.904,1.238,not_hand_wash
-2.083,0.6258,-3.652,2.421,7.886,1.566,not_hand_wash
0.4641,0.4805,-2.17,1.057,9.064,0.3532,not_hand_wash
0.1474,0.06842,-2.613,0.06835,9.005,0.06351,not_hand_wash
-5.292,1.564,-6.425,2.856,-2.02,4.142,hand_wash
-5.517,1.146,-6.573,2.099,-0.901,3.767,hand_wash
-4.568,1.949,-7.456,3.152,-0.6854,3.931,hand_wash
-2.995,2.32,-7.468,4.818,0.8782,5.607,hand_wash
0.7562,0.4541,-1.97,1.562,9.076,0.5508,not_hand_wash
0.4255,0.3259,-3.466,1.4,8.616,1.003,not_hand_wash
0.6442,0.2092,-2.477,0.4695,8.982,0.519,not_hand_wash
0.5821,0.05837,-2.074,0.4752,9.137,0.1488,not_hand_wash
0.5955,0.06413,-1.871,0.09516,9.203,0.05437,not_hand_wash
0.6119,0.05638,-2.057,0.107,9.152,0.05997,not_hand_wash
4.782,1.382,-6.65,1.745,0.618,3.802,not_hand_wash
2.221,0.1999,-3.214,0.3274,8.454,0.279,not_hand_wash
2.0,0.5343,-3.197,0.6448,8.473,0.6488,not_hand_wash
0.6233,0.04995,-2.09,0.07294,9.142,0.05625,not_hand_wash
0.6209,0.04816,-2.111,0.04214,9.134,0.04839,not_hand_wash
0.6296,0.05183,-2.111,0.0418,9.132,0.0486,not_hand_wash
0.6275,0.04764,-2.098,0.03971,9.128,0.04944,not_hand_wash
0.6253,0.04923,-2.118,0.04554,9.129,0.04958,not_hand_wash
0.622,0.05069,-2.122,0.03879,9.131,0.0486,not_hand_wash
0.6244,0.3425,-2.231,1.107,9.074,0.7129,not_hand_wash
0.5286,0.1414,-2.296,0.4375,9.078,0.1845,not_hand_wash
0.5616,0.06289,-2.136,0.172,9.12,0.08459,not_hand_wash
0.5779,0.04925,-1.995,0.04429,9.163,0.0492,not_hand_wash
0.5717,0.06348,-2.088,0.1237,9.135,0.07375,not_hand_wash
0.57,0.06218,-1.962,0.146,9.169,0.07803,not_hand_wash
0.5662,0.1301,-1.967,0.7226,9.142,0.2684,not_hand_wash
0.6246,0.15,-2.028,0.8663,9.112,0.4402,not_hand_wash
0.6729,0.05052,-1.68,0.1217,9.236,0.06205,not_hand_wash
0.711,0.04692,-1.578,0.04412,9.26,0.05315,not_hand_wash
0.6954,0.09601,-1.689,0.3714,9.228,0.1413,not_hand_wash
0.6762,0.2261,-2.364,0.3201,9.011,0.477,not_hand_wash
0.4148,0.1551,-4.9,1.219,7.756,0.7551,not_hand_wash
0.5998,0.3553,-3.232,1.484,8.604,0.9104,not_hand_wash
