mean_x,std_x,mean_y,std_y,mean_z,std_z,Activity
-10.34,3.966,-1.001,2.468,-0.7365,1.687,not_hand_wash
2.501,4.066,-3.557,6.037,5.209,2.897,not_hand_wash
-5.048,6.761,-1.64,3.256,3.677,3.793,not_hand_wash
-9.612,3.393,0.07125,1.056,-0.6466,1.193,not_hand_wash
-9.741,2.869,0.1558,1.173,-0.1907,1.525,not_hand_wash
-9.81,4.617,-0.2318,1.403,0.0765,2.467,not_hand_wash
-10.98,2.921,-0.8966,1.456,0.9013,1.516,not_hand_wash
-9.817,2.25,-1.676,1.789,0.3396,1.19,not_hand_wash
-10.3,2.977,-1.461,1.405,-0.2352,1.547,not_hand_wash
-10.64,2.746,-0.6189,1.441,-0.3481,1.642,not_hand_wash
-10.51,2.749,-0.5178,1.272,-0.1332,0.9929,not_hand_wash
-10.39,2.394,-0.6518,1.725,-0.347,1.081,not_hand_wash
-10.71,2.341,-0.426,1.695,-0.5116,1.39,not_hand_wash
-10.86,2.148,-0.8489,1.184,-0.5987,1.212,not_hand_wash
-11.1,2.525,-0.3685,1.129,-0.6917,1.165,not_hand_wash
-11.1,2.128,0.1014,1.775,-0.8419,1.66,not_hand_wash
-11.28,2.433,1.456,1.356,-0.2631,1.617,not_hand_wash
-11.18,2.609,1.165,1.603,0.1321,1.777,not_hand_wash
-10.48,2.719,1.052,1.989,-0.1406,1.75,not_hand_wash
-10.63,2.534,1.284,1.283,-0.2464,1.54,not_hand_wash
-10.28,2.439,2.035,0.9818,-0.09462,1.28,not_hand_wash
-10.79,2.29,0.5159,1.607,-0.4493,1.063,not_hand_wash
-10.99,2.264,0.07097,1.48,-0.8127,1.636,not_hand_wash
-11.04,2.383,-0.2539,1.15,-0.803,1.429,not_hand_wash
-10.7,2.299,-0.09965,1.06,-1.037,1.519,not_hand_wash
-10.73,2.013,0.1072,0.784,-0.964,1.144,not_hand_wash
-10.62,2.16,0.3621,1.264,-1.039,1.598,not_hand_wash
-7.507,4.352,0.186,2.331,5.895,2.724,not_hand_wash
-2.094,1.569,2.631,1.362,8.53,2.159,not_hand_wash
-11.07,2.758,0.8679,1.977,0.1883,3.121,not_hand_wash
-10.57,2.606,1.958,2.02,-0.4527,1.493,not_hand_wash
-11.11,2.4,-0.1119,0.9874,-0.3706,1.304,not_hand_wash
-11.09,2.279,-0.2216,1.451,-0.6971,1.3,not_hand_wash
-11.19,1.696,-0.8296,1.677,-0.6231,1.014,not_hand_wash
-11.36,2.27,-0.3135,1.054,-0.7973,1.363,not_hand_wash
-11.4,1.884,0.02019,1.344,-1.52,1.448,not_hand_wash
-11.39,1.763,-0.1168,1.197,-0.8348,1.628,not_hand_wash
-11.48,2.658,-0.4937,1.593,-0.3342,1.722,not_hand_wash
-11.42,2.245,-0.3454,1.482,-1.124,1.679,not_hand_wash
-11.35,2.619,-0.09068,1.338,-1.048,1.468,not_hand_wash
-11.22,2.252,0.1489,1.706,-1.232,1.153,not_hand_wash
-10.74,2.039,0.2201,1.238,-0.749,1.439,not_hand_wash
-10.94,2.364,-0.2894,1.137,-0.7082,1.548,not_hand_wash
-11.28,2.359,-0.1174,1.242,-0.8284,1.242,not_hand_wash
-11.25,2.076,-0.2241,0.887,-0.7231,1.478,not_hand_wash
-11.2,2.339,0.1026,1.436,-1.36,1.391,not_hand_wash
-10.99,2.608,0.02083,1.343,-1.136,1.441,not_hand_wash
-10.96,2.218,-0.3875,1.228,-0.8745,1.174,not_hand_wash
-10.82,2.14,0.4524,1.292,-1.258,1.328,not_hand_wash
-10.91,2.194,0.3591,1.329,-1.021,1.642,not_hand_wash
-10.88,2.241,0.1829,1.568,-1.777,1.434,not_hand_wash
-10.43,1.951,0.02861,1.409,-1.961,1.721,not_hand_wash
-10.42,1.897,-0.4397,1.057,-0.9538,1.172,not_hand_wash
-10.98,2.144,-0.2851,1.103,-1.159,1.145,not_hand_wash
-11.04,1.961,-0.1957,1.008,-1.156,1.276,not_hand_wash
-11.2,1.918,-0.1712,0.9943,-0.5425,1.725,not_hand_wash
-10.77,2.355,-0.1019,1.337,-1.024,1.289,not_hand_wash
-10.92,2.317,-0.08793,1.251,-1.025,1.464,not_hand_wash
-11.4,2.448,-0.1251,1.783,-1.445,1.57,not_hand_wash
-12.22,2.148,-0.3166,1.521,-1.275,1.804,not_hand_wash
-11.51,1.939,-0.6993,1.619,-0.9483,1.483,not_hand_wash
-11.26,2.371,-1.98,2.097,0.3115,1.293,not_hand_wash
-1.681,3.643,0.2247,1.996,7.872,2.582,not_hand_wash
1.194,1.239,-1.172,1.264,9.246,1.957,not_hand_wash
2.231,1.244,-0.5035,1.13,9.191,1.835,not_hand_wash
-4.09,1.354,-6.151,3.351,1.757,4.891,hand_wash
-4.668,1.937,-6.84,1.937,-2.617,4.346,hand_wash
-4.481,4.054,-7.825,2.458,-2.801,3.278,hand_wash
-3.57,2.585,-8.2,3.467,-1.132,4.575,hand_wash
-3.77,1.709,-6.749,3.189,2.685,4.139,hand_wash
-3.291,2.943,-8.61,3.817,-3.222,3.638,hand_wash
-2.116,2.445,-7.504,4.685,2.45,5.294,hand_wash
-2.335,2.487,-8.474,3.881,-0.1394,4.533,hand_wash
-2.711,3.13,-9.032,3.964,-2.435,4.27,hand_wash
-1.421,1.811,-6.768,4.929,2.376,5.489,hand_wash
-2.198,1.3,-5.606,3.428,4.478,4.781,hand_wash
