mean_x,std_x,mean_y,std_y,mean_z,std_z,Activity
0.6216,0.04955,-2.121,0.03959,9.13,0.04679,not_hand_wash
0.6336,0.3878,-2.153,1.248,9.089,0.8161,not_hand_wash
0.5219,0.175,-2.184,0.5103,9.113,0.2226,not_hand_wash
0.5747,0.06536,-2.448,0.2292,9.027,0.1022,not_hand_wash
0.5559,0.05165,-2.1,0.07422,9.132,0.05107,not_hand_wash
0.5774,0.04982,-1.991,0.04262,9.165,0.04996,not_hand_wash
0.5818,0.05524,-2.013,0.07785,9.155,0.05898,not_hand_wash
0.5605,0.07404,-2.076,0.2169,9.136,0.1019,not_hand_wash
0.573,0.04949,-1.975,0.04866,9.168,0.05046,not_hand_wash
0.5696,0.1186,-1.902,0.5133,9.175,0.1777,not_hand_wash
0.6007,0.1928,-2.122,1.199,9.05,0.5644,not_hand_wash
0.64,0.05612,-1.915,0.1346,9.176,0.06246,not_hand_wash
0.6835,0.04959,-1.615,0.05298,9.254,0.05611,not_hand_wash
0.7072,0.04697,-1.58,0.04471,9.258,0.05533,not_hand_wash
0.7224,0.04589,-1.554,0.0422,9.268,0.05078,not_hand_wash
0.6481,0.104,-2.041,0.4464,9.136,0.1612,not_hand_wash
0.6805,0.2905,-2.253,0.8382,9.073,0.7349,not_hand_wash
0.4164,0.1317,-5.125,0.4351,7.621,0.3322,not_hand_wash
0.5232,0.4129,-4.345,1.47,8.038,0.9668,not_hand_wash
0.6173,0.07296,-2.106,0.2309,9.128,0.0973,not_hand_wash
0.5578,0.1295,-2.251,0.4153,9.083,0.17,not_hand_wash
0.5703,0.1543,-2.365,0.6125,9.031,0.2352,not_hand_wash
0.562,0.07265,-2.553,0.1837,8.988,0.1202,not_hand_wash
0.5576,0.04796,-2.604,0.04098,8.97,0.0516,not_hand_wash
0.5718,0.1235,-2.076,0.4862,9.133,0.1637,not_hand_wash
0.5766,0.05171,-2.31,0.07701,9.068,0.06478,not_hand_wash
0.5949,0.08397,-2.3,0.1362,9.088,0.1151,not_hand_wash
0.9003,0.1704,-1.386,0.5871,9.251,0.3638,not_hand_wash
0.7295,0.05119,-1.981,0.05867,9.146,0.04788,not_hand_wash
0.715,0.04592,-2.089,0.04863,9.127,0.05072,not_hand_wash
1.18,1.304,-2.402,1.455,8.759,1.228,not_hand_wash
6.292,0.2403,-6.509,0.6744,1.097,1.427,not_hand_wash
