mean_x,std_x,mean_y,std_y,mean_z,std_z,Activity
-3.036,2.789,-5.498,3.65,-6.307,5.328,hand_wash
-4.192,3.184,-2.522,4.251,-8.494,3.184,hand_wash
-5.164,1.458,-6.04,2.9,-0.02054,4.849,hand_wash
-5.036,1.638,-5.823,2.708,0.00197,5.614,hand_wash
-5.817,1.599,-3.55,3.968,0.04874,5.803,hand_wash
-5.037,1.077,-6.473,2.657,-1.3,4.591,hand_wash
-5.755,1.216,-6.249,1.927,-0.7075,3.888,hand_wash
-4.933,1.321,-6.349,1.414,-2.733,3.913,hand_wash
-5.611,1.322,-5.798,2.145,0.9839,4.577,hand_wash
-4.425,1.143,0.2438,1.168,8.297,1.294,hand_wash
-5.912,1.368,-5.535,2.198,-4.221,3.352,hand_wash
-5.565,1.342,-6.667,1.282,-1.835,3.592,hand_wash
-5.215,0.994,-2.969,3.724,5.148,3.837,hand_wash
-4.95,1.37,-6.486,1.795,-2.348,4.039,hand_wash
-5.503,1.403,-6.346,1.784,-0.4897,4.089,hand_wash
-4.767,1.114,-6.593,1.497,-1.782,4.092,hand_wash
-5.201,1.195,-5.493,1.995,1.359,5.246,hand_wash
-5.628,1.255,-5.733,2.431,-2.61,4.44,hand_wash
-5.123,1.408,-6.185,2.039,-2.535,4.399,hand_wash
-5.876,1.239,-3.094,3.517,2.881,5.421,hand_wash
-3.763,2.786,-4.253,4.333,-6.684,5.061,hand_wash
-4.721,3.059,-5.767,3.979,-3.115,5.83,hand_wash
-3.434,2.359,-5.51,3.294,-5.574,5.411,hand_wash
-3.652,2.045,-5.702,2.884,-7.08,3.365,hand_wash
-3.934,3.201,-7.098,2.252,-3.588,4.176,hand_wash
-3.81,2.359,-6.661,2.238,-5.702,2.229,hand_wash
-5.23,1.564,-5.831,2.961,-0.5427,5.213,hand_wash
-4.768,1.14,-6.205,1.787,-1.834,4.756,hand_wash
-4.504,1.457,-5.738,2.514,-0.2792,5.701,hand_wash
-4.461,1.28,-6.038,2.019,-2.345,5.185,hand_wash
-5.391,1.826,-5.583,2.876,-0.8812,4.994,hand_wash
-4.884,1.057,-6.096,1.356,-4.357,3.157,hand_wash
-4.651,2.333,-6.568,3.102,0.3329,3.784,hand_wash
-4.862,1.778,-6.972,1.779,-3.628,2.83,hand_wash
-4.806,1.401,-6.722,2.096,-1.2,4.534,hand_wash
-5.45,1.677,-5.086,3.372,0.5542,5.345,hand_wash
-4.721,1.61,-6.125,2.342,-1.895,5.269,hand_wash
-4.969,1.618,-5.788,2.481,0.8291,5.07,hand_wash
-4.733,1.481,-4.874,3.237,-0.2671,6.488,hand_wash
-5.378,1.841,-5.134,3.105,-0.5916,5.561,hand_wash
-5.337,0.8546,-6.286,1.663,-3.446,3.556,hand_wash
-4.841,1.485,-5.088,1.921,-2.33,5.833,hand_wash
-5.19,1.725,-6.042,2.824,-0.01848,4.438,hand_wash
-6.151,1.312,-6.035,1.881,-1.332,3.817,hand_wash
-5.248,1.457,-6.563,2.065,-2.445,3.427,hand_wash
-5.872,1.266,-6.418,1.469,-1.359,3.294,hand_wash
-0.3583,2.2,-5.307,5.417,2.903,6.334,not_hand_wash
5.375,3.199,-0.123,4.813,4.24,3.97,not_hand_wash
-2.998,4.708,-3.42,1.742,6.839,2.794,not_hand_wash
-1.713,3.223,-3.679,2.696,6.943,2.681,not_hand_wash
0.9087,0.726,-5.165,2.731,6.953,2.279,not_hand_wash
0.8039,0.3605,-1.62,1.694,9.098,0.4569,not_hand_wash
0.7734,0.05795,-2.955,0.05163,8.842,0.05701,not_hand_wash
0.7759,0.102,-3.001,0.1698,8.821,0.1023,not_hand_wash
