mean_x,std_x,mean_y,std_y,mean_z,std_z,Activity
-3.009,2.371,-6.44,3.613,-4.415,5.401,hand_wash
-3.12,3.153,-4.515,3.436,-8.19,4.547,hand_wash
-4.062,2.875,-0.6928,3.85,-9.16,3.294,hand_wash
-4.197,3.484,-4.421,3.792,-7.76,2.938,hand_wash
-5.144,2.842,-4.87,2.772,-3.784,6.126,hand_wash
-6.006,1.129,-5.417,3.267,0.8994,3.907,hand_wash
-4.294,1.257,-6.61,2.35,-0.8792,5.569,hand_wash
-5.179,1.468,-5.397,2.843,-1.812,5.911,hand_wash
-4.959,1.746,-6.201,2.49,1.641,4.706,hand_wash
-4.963,1.259,-6.611,1.903,-5.241,1.966,hand_wash
-6.774,1.34,-0.2459,2.788,5.657,2.128,hand_wash
-5.086,1.196,-6.298,3.558,0.05894,4.755,hand_wash
-4.932,1.006,-6.646,1.206,-2.582,4.037,hand_wash
-6.156,0.6142,-6.016,1.705,-1.591,3.971,hand_wash
-5.403,1.471,-6.506,2.082,0.005881,3.672,hand_wash
-5.063,1.191,-5.825,1.518,-1.533,4.786,hand_wash
-4.756,1.393,-7.027,1.091,-3.575,2.596,hand_wash
-6.023,0.6464,-5.905,1.717,-0.5899,4.318,hand_wash
-5.22,1.653,-5.079,2.802,2.988,4.339,hand_wash
-5.018,1.346,-0.358,1.329,8.303,1.741,hand_wash
-3.827,0.2945,0.8571,0.4731,8.245,0.6244,hand_wash
-6.231,1.333,-5.833,2.441,-3.615,3.55,hand_wash
-5.551,1.374,-5.404,1.706,-4.781,2.801,hand_wash
-5.637,1.285,-6.633,1.543,-1.429,4.054,hand_wash
-5.609,1.352,-6.725,0.9391,-2.262,2.986,hand_wash
-4.901,1.653,-6.161,1.994,-2.845,5.004,hand_wash
-5.344,0.08724,-0.3805,0.2309,7.996,0.1133,hand_wash
-5.101,1.409,-5.663,3.745,2.182,3.584,hand_wash
-4.62,1.172,-6.507,1.812,-2.096,4.376,hand_wash
-5.213,1.497,-6.544,1.756,-2.637,3.565,hand_wash
-5.653,1.061,-6.091,1.571,-1.013,4.467,hand_wash
-5.426,1.629,-6.51,1.928,-0.2432,3.831,hand_wash
-4.954,1.174,-6.555,1.676,-0.07209,4.014,hand_wash
-4.585,1.024,-6.537,1.343,-2.773,3.95,hand_wash
-5.154,1.424,-6.416,1.466,-2.8,3.743,hand_wash
-5.239,0.8527,-4.175,2.187,5.991,2.049,hand_wash
-6.042,1.055,-5.019,2.756,-1.974,4.927,hand_wash
-5.23,1.295,-6.459,1.809,-3.239,3.806,hand_wash
-4.937,1.265,-5.75,1.879,-4.591,3.201,hand_wash
-5.399,1.538,-6.609,2.081,-0.3902,4.424,hand_wash
-5.089,1.302,-5.694,3.113,-0.9433,5.253,hand_wash
-6.658,0.3218,-0.2686,0.3422,6.956,0.3318,hand_wash
-3.807,2.543,-5.804,3.559,-4.854,5.624,hand_wash
-3.713,3.016,-2.863,4.656,-8.479,3.548,hand_wash
-3.953,3.125,-5.577,3.714,-6.186,3.729,hand_wash
-5.446,2.776,-5.752,4.299,0.5137,5.795,hand_wash
-3.428,1.619,-6.118,3.498,-3.274,5.641,hand_wash
-3.527,2.936,-4.933,2.968,-7.926,3.976,hand_wash
-3.184,2.479,-4.69,2.731,-7.972,2.719,hand_wash
-4.139,1.34,-6.693,2.684,-5.957,3.65,hand_wash
-3.874,2.8,-7.252,2.377,-2.282,4.949,hand_wash
-4.033,3.573,-6.961,2.112,-4.817,2.714,hand_wash
-3.478,2.451,-6.862,2.123,-5.514,2.342,hand_wash
-4.129,2.221,-6.482,2.358,-5.945,2.04,hand_wash
-4.423,4.107,-5.651,4.604,-0.932,6.253,hand_wash
-5.279,1.857,-5.82,3.563,-0.5071,4.761,hand_wash
-5.176,1.201,-5.805,2.156,-0.725,5.665,hand_wash
-4.463,1.446,-6.423,2.168,1.571,4.152,hand_wash
-5.109,0.6123,-6.074,1.322,-5.208,2.178,hand_wash
-4.278,1.371,-6.033,2.203,-3.419,4.82,hand_wash
-4.685,1.474,-5.473,2.773,2.695,4.795,hand_wash
-4.206,1.369,-6.049,1.903,-4.031,4.493,hand_wash
-4.675,1.146,-6.311,2.439,-0.6391,5.181,hand_wash
-5.92,1.449,-1.113,2.654,6.432,1.842,hand_wash
-6.161,1.095,-4.364,3.052,-1.52,5.575,hand_wash
-4.614,2.077,-6.816,2.065,-0.2389,4.264,hand_wash
-4.859,1.095,-6.134,1.184,-4.986,2.462,hand_wash
-4.928,1.009,-6.081,1.516,-3.626,3.638,hand_wash
-4.879,1.185,-5.025,3.396,0.7694,6.098,hand_wash
-6.137,1.428,-5.243,3.364,2.097,4.55,hand_wash
-3.06,2.139,-7.786,2.123,-1.374,1.351,hand_wash
-4.81,2.137,-7.617,1.927,-3.259,2.726,hand_wash
-5.017,1.046,-6.488,1.479,-3.76,3.182,hand_wash
-4.718,1.275,-6.392,1.986,0.1312,4.959,hand_wash
-4.89,1.508,-6.728,2.196,-2.068,4.36,hand_wash
-5.921,1.383,-4.327,3.821,-0.7698,5.946,hand_wash
-4.999,1.805,-5.888,2.683,1.882,4.295,hand_wash
-4.851,1.783,-6.199,2.07,-1.052,5.404,hand_wash
-4.5,1.432,-6.095,2.529,-2.628,4.953,hand_wash
-5.668,1.203,-5.522,2.526,0.2643,5.667,hand_wash
-4.304,1.669,-6.16,2.463,1.422,4.28,hand_wash
-4.529,0.9237,-6.547,1.986,-5.789,1.743,hand_wash
-5.052,1.848,-2.803,3.233,5.64,4.29,hand_wash
-5.949,1.291,-3.95,3.334,0.4496,6.08,hand_wash
-4.79,2.108,-6.322,2.303,-1.725,4.832,hand_wash
-5.493,0.748,-6.033,1.618,-4.192,3.29,hand_wash
-5.19,0.9147,-6.51,1.684,-2.691,3.613,hand_wash
-4.92,1.296,-4.522,1.09,-7.144,1.602,hand_wash
-4.632,1.74,-5.942,2.471,2.885,3.797,hand_wash
-5.547,1.314,-4.696,3.576,1.859,5.616,hand_wash
-4.966,1.678,-5.484,3.458,2.182,4.455,hand_wash
-5.422,1.763,-6.619,1.86,-2.154,3.286,hand_wash
-6.143,1.272,-5.625,1.754,-1.797,4.285,hand_wash
-6.172,1.342,-6.411,1.909,-0.9917,3.127,hand_wash
-4.995,1.252,-7.068,2.006,-2.635,3.084,hand_wash
-5.404,1.642,-6.147,1.992,-2.351,3.703,hand_wash
-6.15,0.9065,-6.685,1.532,-0.08792,2.571,hand_wash
-5.793,1.476,-5.939,1.458,-2.125,3.733,hand_wash
-5.057,0.908,-5.973,3.205,1.947,4.059,hand_wash
-0.6458,0.9778,-1.664,4.293,7.498,3.293,not_hand_wash
0.03831,3.042,-9.107,3.758,-1.767,5.153,not_hand_wash
6.511,1.719,0.5641,4.376,3.366,1.777,not_hand_wash
4.115,3.881,-0.768,4.878,5.315,5.29,not_hand_wash
0.7671,1.502,-2.762,1.668,9.012,1.71,not_hand_wash
-7.205,3.285,-4.091,1.533,4.302,0.8168,not_hand_wash
-3.76,2.991,-5.726,1.734,4.865,1.025,not_hand_wash
0.6349,0.6406,-1.394,1.723,9.348,1.786,not_hand_wash
1.047,0.9074,-6.147,2.595,6.085,2.422,not_hand_wash
0.8801,0.2422,-4.2,2.35,7.807,1.592,not_hand_wash
0.5804,0.2993,-0.1718,1.13,9.429,0.3615,not_hand_wash
1.003,0.2668,-3.149,0.3155,8.736,0.2025,not_hand_wash
0.7836,0.05687,-2.955,0.05992,8.842,0.06023,not_hand_wash
0.7583,0.05623,-2.951,0.0413,8.848,0.05607,not_hand_wash
